title,price,rating,reviews,availability
"OnePlus Nord N30 5G | Unlocked Dual-SIM Android Smart Phone | 6.7"" LCD Display | 8 +128GB | 5000 mAh Battery | 50W Fast Charging | 108MP Camera | Chromatic Gray",$249.99,4.3 out of 5 stars,183.5,In Stock
Moto G Play 2023 3-Day Battery Unlocked Made for US 3/32GB 16MP Camera Navy Blue,$99.99,4.0 out of 5 stars,183.5,In Stock
Motorola Edge | 2022 | 2-Day Battery | Unlocked | Made for US 6/128GB | 50MP Camera | Mineral Gray,$139.99,4.2 out of 5 stars,183.5,
"Motorola Moto G 5G | 2023 | Unlocked | Made for US 4/128GB | 48 MPCamera | Ink Blue, 163.94x74.98x8.39",$169.99,4.2 out of 5 stars,183.5,Only 8 left in stock (more on the way).
"SAMSUNG Galaxy A54 5G A Series Cell Phone, Unlocked Android Smartphone, 128GB, 6.4” Fluid Display Screen, Pro Grade Camera, Long Battery Life, Refined Design, US Version, 2023, Awesome Black",$349.99,4.3 out of 5 stars,183.5,
"TracFone Moto g Pure (2021), 32GB, Blue - Prepaid Smartphone (Locked/Renewed)",Page 1 of 1,4.2 out of 5 stars,183.5,Not Available
"TracFone Motorola Moto g Play, 32GB, Black - Prepaid Smartphone (Locked)",$39.88,4.0 out of 5 stars,183.5,In Stock
"Motorola Moto g Play, 32GB, Black - Prepaid Smartphone (Locked)",$39.88,3.9 out of 5 stars,183.5,Only 8 left in stock (more on the way).
"Samsung Galaxy A03s, 32GB, Black - Prepaid Smartphone (Locked)",$49.99,4.0 out of 5 stars,183.5,In Stock
"Samsung Galaxy A25 5G (SM-A256E/DS), 128GB 6GB RAM, Dual SIM, Factory Unlocked GSM, International Version (Wall Charger Bundle) - (Blue Black)",Page 1 of 1,4.4 out of 5 stars,9.0,Not Available
"SAMSUNG Galaxy S24+ Plus Cell Phone, 512GB AI Smartphone, Unlocked Android, 50MP Camera, Fastest Processor, Long Battery Life, US Version, 2024, Onyx Black","$1,119.99",4.2 out of 5 stars,183.5,In Stock
"SAMSUNG Galaxy S24 Cell Phone, 256GB AI Smartphone, Unlocked Android, 50MP Camera, Fastest Processor, Long Battery Life, US Version, 2024, Amber Yellow",$859.99,4.2 out of 5 stars,183.5,In Stock
Google Pixel 7a - Unlocked Android Cell Phone - Smartphone with Wide Angle Lens and 24-Hour Battery - 128 GB - Sea,$499.00,4.3 out of 5 stars,183.5,
"TCL 30 Z, 32GB, Black - Prepaid Smartphone (Locked)",$39.93,4.8 out of 5 stars,7.0,In Stock
"OnePlus 12,16GB RAM+512GB,Dual-SIM,Unlocked Android Smartphone,Supports 50W Wireless Charging,Latest Mobile Processor,Advanced Hasselblad Camera,5400 mAh Battery,2024,Flowy Emerald",$899.99,4.7 out of 5 stars,183.5,In Stock
"SAMSUNG Galaxy S23 FE Cell Phone, 128GB, Unlocked Android Smartphone, Long Battery Life, Premium Processor, Tough Gorilla Glass Display, Hi-Res 50MP Camera, US Version, 2023, Cream",$549.99,4.4 out of 5 stars,663.0,In Stock
Nokia XR21 5G | Android 12 | Unlocked Rugged Smartphone | Dual SIM | US Version | 6/128GB | 6.49-Inch Screen | 64MP Dual Camera | Midnight Black,$499.99,3.6 out of 5 stars,183.5,In Stock
"TracFone TCL 30 Z, 32GB, Black - Prepaid Smartphone (Locked)",$38.33,4.0 out of 5 stars,183.5,In Stock
"Unlocked Phone SIM Kit | $25/mo. Plan | Unlimited Data, Talk & Text | $25 Bill Credit Included",0,4.4 out of 5 stars,183.5,In Stock
"iOttie Auto Sense 2 Air Vent Car Phone Holder with Qi Wireless Charging - Auto Clamping Phone Mount for Google Pixel, iPhone, Galaxy, Huawei, LG, and Other Smartphones. Power Adapter Not Included.",$59.95,4.0 out of 5 stars,55.0,In Stock
"BACtrack Mobile Smartphone Breathalyzer | Professional-Grade Accuracy | Wireless Smartphone Connectivity | Compatible w/ Apple iPhone, Google & Samsung Android Devices | Apple HealthKit Integration",$99.99,4.3 out of 5 stars,183.5,In Stock
